time,tavg,tmin,tmax,prcp
11/25/2019,23.3,18.4,29.6,0
11/26/2019,23.4,18.5,29.2,0
11/27/2019,23.4,18.2,28.8,0
11/28/2019,23.6,19.6,29,0
11/29/2019,23.8,18,30,0
11/30/2019,24.3,20,30,0
12/1/2019,23.9,18.4,29,0
12/2/2019,22.6,19,27.8,0
12/3/2019,22.9,16.2,29,0
12/4/2019,23.1,18,29,0
12/5/2019,20.6,16.6,27.2,0
12/6/2019,20.7,12.8,27.8,0
12/7/2019,23.1,16.4,29.2,0
12/8/2019,23.4,18.4,29.2,0
12/9/2019,23.3,19,30,0
12/10/2019,23.2,17.7,30,0
12/11/2019,23.2,17.2,29,0
12/12/2019,23.5,17.6,29.2,0
12/13/2019,23.2,19.5,28,0
12/14/2019,23.3,19,29,0
12/15/2019,24.1,18.2,29.6,0
12/16/2019,23.5,18.9,28.6,0
12/17/2019,23.1,18.1,28.2,0
12/18/2019,21.8,19,26.8,0
12/19/2019,20,14.8,25.8,0
12/20/2019,20.2,13.6,26.6,0
12/21/2019,19.8,14.6,25,0
12/22/2019,20.8,15,27,0
12/23/2019,21.3,17,27.2,0
12/24/2019,20.7,15,27.6,0
12/25/2019,21.6,14,28.8,0
12/26/2019,20.7,17.1,25.4,0
12/27/2019,18.8,17.6,23.4,0
12/28/2019,17.7,14,24,0
12/29/2019,17.1,10.2,24.6,0
12/30/2019,16.8,10.6,24,0
12/31/2019,18.2,9.8,25.8,0
1/1/2020,20.7,12.6,26.6,0
1/2/2020,21.8,15.6,25.8,0
1/3/2020,18.1,17,22,0
1/4/2020,19.1,16.1,21,11.9
1/5/2020,20.1,15.4,25,0
1/6/2020,18.9,15.6,25,0
1/7/2020,19.2,12,27,0
1/8/2020,20.6,13.4,27.2,0
1/9/2020,22.1,16,27.2,0
1/10/2020,21.2,18.4,25.6,0
1/11/2020,18.2,15,25.3,0
1/12/2020,18.2,11.3,25.4,0
1/13/2020,19.3,11.4,27.4,0
1/14/2020,20.6,13,28.4,0
1/15/2020,21.4,16,28.2,0
1/16/2020,21.6,16,29.6,0
1/17/2020,22.3,16.5,29.4,0
1/18/2020,22.4,18,29.2,0
1/19/2020,22.6,15,30.6,0
1/20/2020,21.9,17.8,28.6,0
1/21/2020,21.7,18.6,28,0
1/22/2020,22.5,16.1,29.6,0
1/23/2020,24.1,18.5,30.8,0
1/24/2020,23.2,19.6,29.2,0
1/25/2020,21.4,17.6,27.8,0
1/26/2020,21.3,15.8,28,0
1/27/2020,21.2,13.3,29,0
1/28/2020,23.3,15.6,30.2,0
